"timestamp","case_id","activity_name","resource","user_response"
"2024-05-14T09:31:27.830Z","65","VerVotacionesIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Votaciones abiertas"
"2024-05-07T14:38:15.300Z","15","LanzarEncuestaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","quiero lanzar una votación"
"2024-05-14T09:27:28.971Z","63","EleccionVotacionAsignaturaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","21 de juio"
"2024-05-13T10:22:45.858Z","36","VerVotacionesIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Votaciones abiertas"
"2024-05-02T10:47:54.413Z","2","CrearOpcionesEncuestaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","11 de junio"
"2024-05-14T08:29:19.152Z","50","VotarAsignaturaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","examen prácticas 1 sistemas operativos"
"2024-05-07T14:29:38.087Z","9","CrearOpcionesEncuestaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","14 de junio"
"2024-05-14T08:27:40.539Z","48","ElegirTitulacionIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Ingeniería Informática"
"2024-05-14T09:16:51.764Z","55","ElegirTitulacionIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Ingeniería de Tecnologías de Telecomunicación"
"2024-05-13T10:17:16.087Z","28","VerVotacionesIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Quiero ver votaciones abiertas"
